technique_id,run_index,raw_text,elapsed_s,error,coverage,format_ok,matched
zero_shot,0,"Based on the provided text, the key risks related to cyber attacks on JPMorganChase are:

* **System Infiltration and Malware:** The introduction of computer viruses or malicious code into the firm's systems.
* **Data Compromise:** Unauthorized access to confidential information belonging to the bank, its clients, customers, counterparties, or employees, as well as the manipulation or destruction of data.
* **Operational Disruption:** Disruption, sabotage, or degradation of services and websites, including online banking platforms.
* **Financial Loss and Extortion:** Direct theft of money or extortion through the use of ransomware.
* **Diverse Threat Sources:** Attacks originating from well-resourced or motivated actors, including state-sponsored groups/terrorists, cyber-criminals, and hacktivists.
* **Invevitability of Future Breaches:** Past security breaches indicate that future attacks and resulting serious, harmful consequences for the bank and its stakeholders are inevitable.",1.25,,0.9,True,"data_manipulation,malware,past_and_future_breaches,ransomware,serious_consequences,service_disruption,theft_of_money,threat_actors,unauthorized_access"
zero_shot,1,"Based on the provided section of the annual report, the key risks JPMorganChase faces regarding cyber attacks can be summarized as follows:

*   **Frequency and Inevitability:** The firm constantly faces numerous cyber attacks, and past security breaches indicate that future breaches are inevitable.
*   **Adverse Impacts and Objectives:** Cyber attacks aim to (and could successfully) introduce malware, gain unauthorized access to confidential data, manipulate or destroy data, disrupt online and banking services, steal funds, or extort money through ransomware. 
*   **Diverse Threat Actors:** Attacks are perpetrated by sophisticated and varied sources, including state-sponsored groups, hostile countries, terrorist organizations, cyber-criminals, and hacktivists.
*   **Potential Harm:** A successful attack could cause significant, serious, and harmful consequences for both JPMorganChase and its clients, customers, counterparties, and employees.",1.33,,1.0,True,"data_manipulation,frequent_attacks,malware,past_and_future_breaches,ransomware,serious_consequences,service_disruption,theft_of_money,threat_actors,unauthorized_access"
zero_shot,2,"Based on the provided text, the key risks to JPMorganChase and its clients and customers are:

* **Frequency and Inevitability of Attacks:** The firm constantly faces numerous cyber attacks, and future security breaches are inevitable.
* **Malicious System Disruption:** Attacks can introduce malware, manipulate or destroy data, and disrupt, sabotage, or degrade online banking and other services.
* **Data and Financial Theft:** Threat actors can gain unauthorized access to confidential information (belonging to the bank, clients, customers, counterparties, or employees), steal money, or extort funds using ransomware.
* **Diverse and Dangerous Threat Actors:** Attacks may originate from sophisticated or hostile sources, including state-sponsored groups, terrorists, cyber-criminals, and hacktivists.
* **Severe Consequences:** Any successful breach or attack risks causing significant, serious, and harmful outcomes for both the institution and its stakeholders.",1.36,,0.9,True,"data_manipulation,frequent_attacks,malware,past_and_future_breaches,ransomware,service_disruption,theft_of_money,threat_actors,unauthorized_access"
zero_shot,3,"Based on the provided text, the key risks to JPMorganChase and its clients/customers are:

* **Pervasive Threat:** The firm constantly experiences numerous cyber attacks, and future security breaches are acknowledged as inevitable.
* **Malicious System Intrusions:** Attacks may introduce viruses/malware or achieve unauthorized access to the firm's systems and confidential data (belonging to the firm, clients, customers, counterparties, or employees).
* **Operational Disruption and Data Compromise:** Cyber threats can manipulate or destroy data, as well as disrupt, sabotage, or degrade online banking and other services.
* **Financial Loss and Extortion:** Attacks can directly result in the theft of money or the extortion of funds through ransomware.
* **Diverse and Dangerous Threat Actors:** Perpetrators include state-sponsored groups, terrorists, cyber-criminals, and politically or socially motivated hacktivists.
* **Harmful Consequences:** Any successful attack or breach has the potential to cause significant, serious harm to the firm and its stakeholders.",1.35,,1.0,True,"data_manipulation,frequent_attacks,malware,past_and_future_breaches,ransomware,serious_consequences,service_disruption,theft_of_money,threat_actors,unauthorized_access"
zero_shot,4,"Based on the provided text, the key cyber security risks facing JPMorganChase are summarized as follows:

* **Frequency and Inevitability:** The firm constantly faces numerous cyber attacks and past security breaches indicate that future breaches are inevitable.
* **Adverse Impacts and Objectives of Attacks:** Attackers may successfully:
    * Introduce malware or computer viruses.
    * Gain unauthorized access to confidential data (belonging to the firm, clients, customers, counterparties, or employees).
    * Manipulate, steal, or destroy data/money.
    * Disrupt, sabotage, or degrade online banking and other technological services.
    * Extort money using ransomware.
* **Diverse Threat Actors:** Attacks are launched by hostile nation-states or terrorists, cyber-criminals, and hacktivists pursuing political or social agendas. 
* **Overall Consequence:** Any successful cyber attack or security breach has the potential to cause significant harm and serious, harmful consequences to both JPMorganChase and its clients and customers.",1.43,,0.9,True,"data_manipulation,frequent_attacks,malware,past_and_future_breaches,ransomware,serious_consequences,service_disruption,threat_actors,unauthorized_access"
few_shot_2,0,"Key risks:
- Cybersecurity risk: frequent cyber attacks (including malware, data theft, service disruption, and ransomware from state-sponsored, criminal, or activist threat actors) could harm the firm and its clients, with future breaches considered inevitable",1.02,,0.6,False,"frequent_attacks,malware,past_and_future_breaches,ransomware,service_disruption,threat_actors"
few_shot_2,1,"Key risks:
- Cybersecurity risk: frequent cyber attacks (from state-sponsored groups, criminals, and hacktivists) targeting systems, software, and networks could introduce malware, breach confidential data, destroy data, disrupt online banking services, result in theft, or involve ransomware extortion
- Historical and inevitable breach risk: past security breaches and the inevitability of future ones could cause significant harm and serious consequences to the firm, its clients, and customers",2.85,,0.8,True,"data_manipulation,frequent_attacks,malware,past_and_future_breaches,ransomware,serious_consequences,service_disruption,threat_actors"
few_shot_2,2,"Key risks:
- Cybersecurity risk: frequent cyber attacks (from nation-states, criminals, and hacktivists) could introduce malware, breach confidential data, destroy systems, disrupt online banking, or result in theft and ransomware
- Operational and breach risk: past security incidents and inevitable future breaches could cause serious harm and negative consequences for the firm, its clients, and customers",1.03,,0.6,True,"frequent_attacks,malware,past_and_future_breaches,ransomware,service_disruption,threat_actors"
few_shot_2,3,"Key risks:
- Cybersecurity risk: ongoing cyber attacks (from nation-states, criminals, and hacktivists) target systems and data, with inevitable future breaches threatening severe harm, financial loss, and service disruption",1.02,,0.4,False,"frequent_attacks,past_and_future_breaches,service_disruption,threat_actors"
few_shot_2,4,"Key risks:
- Cybersecurity risk: ongoing cyber attacks and inevitable future breaches could harm systems, steal or destroy data, disrupt online services, and compromise confidential information of the firm and its clients
- Financial and operational disruption risk: attacks involving malware, theft, ransomware extortion, and actions by nation-states, criminals, or hacktivists could cause serious harm and material liabilities",1.23,,0.8,True,"data_manipulation,frequent_attacks,malware,past_and_future_breaches,ransomware,service_disruption,threat_actors,unauthorized_access"
few_shot_5,0,"Key risks:
- Cybersecurity risk: continuous cyber attacks and inevitable future breaches (from state-sponsored actors, criminals, and hacktivists) could introduce malware, unauthorized data access, data destruction, service disruptions, financial theft, or ransomware demands",1.13,,0.6,False,"malware,past_and_future_breaches,ransomware,service_disruption,theft_of_money,threat_actors"
few_shot_5,1,"Key risks:
- Cybersecurity risk: frequent cyber attacks from state-sponsored actors, criminals, and hacktivists threaten systems, data, and services, with inevitable future breaches potentially causing financial loss, data theft, and operational disruption",0.94,,0.4,False,"frequent_attacks,past_and_future_breaches,service_disruption,threat_actors"
few_shot_5,2,"Key risks:
- Cybersecurity risk: frequent cyber attacks from hostile states, criminals, and hacktivists could cause data breaches, theft, extortion, system disruption, and inevitable future security breaches",0.81,,0.6,False,"frequent_attacks,past_and_future_breaches,ransomware,service_disruption,threat_actors,unauthorized_access"
few_shot_5,3,"Key risks:
- Cybersecurity risk: frequent cyber attacks from state-sponsored actors, criminals, and hacktivists could lead to unauthorized access, data loss/destruction, service disruption, theft, or extortion, with inevitable future breaches causing serious harm",1.01,,0.6,False,"frequent_attacks,past_and_future_breaches,ransomware,service_disruption,threat_actors,unauthorized_access"
few_shot_5,4,"Key risks:
- Cybersecurity risk: frequent cyber attacks from nation-states, criminals, and hacktivists could introduce malware, breach confidential data, destroy systems, steal or extort funds, and disrupt online services",0.92,,0.5,False,"frequent_attacks,malware,ransomware,service_disruption,threat_actors"
