rank,technique_id,name,category,coverage,consistency,format_compliance,avg_latency_s,error_count,final_score
1,zero_shot,Zero-shot,baseline,0.94,0.7,1.0,1.34,0,0.886
2,system_vs_user_placement,Instruction in system role (vs user role),structural,0.88,0.7,1.0,1.36,0,0.862
3,role_plus_cot,Role + chain-of-thought,combined,0.84,0.6,1.0,2.47,0,0.816
4,format_constrained,"Format constraints (5 bullets, <=20 words)",constraint,0.84,0.6,1.0,1.0,0,0.816
5,structured_json_prompted,Structured JSON (prompt-only),structured,0.7,0.75,1.0,0.97,0,0.805
6,role_prompting,Role prompting,persona,0.7,0.667,1.0,2.55,0,0.78
7,negative_prompting,Negative prompting,constraint,0.8,0.5,1.0,1.17,0,0.77
8,chain_of_thought,Chain-of-thought,reasoning,0.84,0.4,1.0,2.23,0,0.756
9,structured_json_schema,Structured JSON (API-enforced schema),structured,0.72,0.556,1.0,1.17,0,0.755
10,kitchen_sink,Combined (role + few-shot + CoT + JSON schema + format limit),combined,0.64,0.444,1.0,1.3,0,0.689
11,self_consistency,Self-consistency (internal 3-draft reconciliation),reasoning,0.62,0.333,1.0,1.9,0,0.648
12,few_shot_2,Few-shot (2 examples),few-shot,0.64,0.444,0.6,1.43,0,0.569
13,few_shot_5,Few-shot (5 examples),few-shot,0.54,0.25,0.0,0.96,0,0.291
